Text,Label
diego freitas e a jovem pobre q mora no morro sem instrução e a criança q vai nascer e viver em pessimas condições e cair na criminalidade e facil falar sobre proibição do aborto qundo se e homem de classe media,1
moral e algo pessoal não tente enfiar seus valores morais em outra pessoa isso não existe sou a favor da legalização do aborto não sou a favor do aborto isso e uma escolha da mulher afinal quem paga o pato depois somos nós mesmas não e quem quer abortar vai abortar sendo legal ou não e quem não quer abortar não vai fazer sendo legal ou não ou vocêa acham que com a legalização do aborto vão ter comerciais na tv falando e aí ta sem nada pra fazer vamos fazer um abortinho,1
eu acho engraçado que se posicionar sobre o útero alheio e mto facil se homem engravidasse aborto ja era legalizado falar que e feio crime e bla bla bla e facil pílula do dia seguinte falha camisinha estoura diu sai do lugar e um monte de outras coisas acontecem são adversidades enfiar criança no orfanato tmbm não e a melhor opção e duvido que se um cara estupra alguem próximo de vcs se no caso não seriam a favor da morte dele alias ja são nascidos ne aí pode matar vcs são a favor do nascimento e não da vida quem e contra não precisa abortar mas pelo menos não fique colocando seus morais ridículos em cima de quem quer fazer,1
adriano barboza da mesma forma como vc demonstrou um ótimo conhecimento afirmando que sexo gera filhos você tambem deveria saber que um aglomerado de celulas que nem sistema nervoso tem que nem e capaz de sentir ou perceber absolutamente nada e que nunca foi nada simplesmente não e nada não e vida e uma pena que essa demência coletiva conhecida como religião lava o cerebro das pessoas para fazê las acreditar no contrario,1
a vida termina qnd acaba atividade cerebral entao pela logica ela começa qnd tem atividade cerebral aos meses de gravidez isso e consenso cientifico e na vdd mto facil de entender um feto antes dos meses n e uma vida um bb inocente e um potencial de vida c a legalizaçao aborta quem quer e ngm mais morre em clinica clandestina facil dmais,1
sendo crime ou não as mulheres vão continuar a realizar porque e um direito delas o corpo e delas o feto não possui sistema nervoso antes dos meses e não sente nada camisinha e pílula podem falhar e aí o casal e obrigado a ter o filho por um metodo falho e se o casal simplesmente não quiser ter um filho agora e se o casal achar que não são estaveis o suficiente pra cria lo e por ser criminalizado clínicas e metodos clandestinos são mais comuns do que se tivessem apoio do governo matando muitas gravidas de infecções doenças e material não esterilizado,1
concordo com você antes abortar de forma segura uma gravidez indesejada não planejada ou inviavel caso não saibam para criar uma criança e necessario ter uma renda condições de ofertar o mínimo para ela o aborto vai continuar sendo legal ou não o único lado ruim disso tudo e que para as mulheres pobres o risco e muito maior pois para quem tem dinheiro e feito com segurança e em clinicas renomadas só não consegue ver isso quem não quer,1
adriano um bebê recem nascido vive fora da barriga da mãe tanto que pode ser dado pra adoção agora vamos pensar um pouco talvez a gente possa colocar o feto pra adoção ne pra que esperar a barriga crescer vamos deixar que outra pessoa cuide desse pequeno ser humano cheio de sentimentos o meu ponto e um feto não possui nem sistema nervoso e depende exclusivamente da mulher para se desenvolver logo ele faz parte de seu corpo sendo portanto de sua responsabilidade e escolha o que o estado tem a ver com o corpo dessa mulher e com o que cresce dentro dele não estou falando que todas devem abortar mas defendo o direito a liberdade para fazê lo em segurança ah e antes que você diga que se minha mãe tivesse me abortado eu não estaria aqui não faria diferença porque eu não teria mesmo consciência do que e viver,1
philipe luiz zen gonçalves oh god mais uma vez grande coisa da pra comparar msm ne pagar pensão alimentícia esmola essa e a verdade se compara bastante cm a responsabilidade q a mulher vai ter cm a criança aham ah e sobre a lei do abandono de incapaz só um esclarecimento não se aplica a esses casos de pai q abandonou a mãe e o filho ta a lei do abandono de incapaz e ouuuutra coisa,1
o espermatozóide e uma celula viva daí pode matar entretanto ele entra no óvulo continua sendo uma celula mas aí não pode mais matar acreditem em quem quiser eu acredito na posição de quem estudou e não de fanaticos religiosos que só falam besteiras e contos de fadas e o aborto e legalizado a muito tempo para quem tem dinheiro segundo a lógica e melhor deixar uma mulher adulta morrer do que matar uma celula querem que o filho seja uma punição para a pessoa que transou com irresponsabilidade esqueceu um dia de tomar o anti o telefone tocou e esqueceu de gozar fora entre outros um filho tem que vir ao mundo sendo desejado e deve receber muito amor um filho na obrigação tras dor pra mãe e pra criança o que e mas cruel matar uma celula ou fazer uma criança nascer onde não era bem vinda,1
gibran sarmento ah va que o genoma e diferente do da mãe realmente tem que ser biólogo pra saber disso deve ser pq o feto tem um pai tambem o q vocês esquecem quando falam de aborto ne sem sistema nervoso central formado sente como aborto legal e pelo sus ate os meses de gestação seguiremos lutando,1
gibran sarmento existe aborto seguro mais seguro do que a gravidez desde q seja em uma clínica bem esterilizada com profissionais de saúde e etc hj a mortalidade materna e alta devido a abortos pq os abortos são clandestinos e feitos por pessoas q nem da area da saúde são quem dira medicos mulher q tem r p pagar medico formado p fazer não tem complicações pós aborto,1
clinicas particulares fazerem abortos e o principal objetivo da legalização não ao meu ver os principais objetivos da legalização ampla são diminuir a mortalidade das mulheres que abortam e tornar a opção de aborto acessível para todos,1
com o sus sucateado só vai recorrer a ele quem nao puder pagar mas e daí a realidade hoje e que quem e pobre recorre a uma clínica muito suspeita ou tenta algum aborto caseiro frequentemente catastrófico,1
everton da luz e pq os homens acham que e facil pra mulher eu cresci numa família miseravel minha mãe tomava pilula e engravidou passei fome a minha visa inteira não tinha roupa só trapo não tinha sapatos então e facil falar conviver com a miseria sim e doloroso não acho justo uma criança nascer pra sofrer tanto assim,1
com isso minha mãe sofreu muito para me sustentar eu me orgulho sim de ter nascido mas se hoje em pleno uma menina da mesma idade que a minha mãe tinha quando eu nasci anos por acaso engravidasse e quisesse fazer um aborto com certeza eu apoiaria não e facil pra ninguem ter um a filho a muito jovem e não ter estrutura financeira para isso,1
washington nascimento quem contou essa história absurda que só podre aborta a questão e diferente são mais podres que morrem sem assistência adequada aborto e uma opção do casal envolvido ninguem por qq motivo que seja deve ter uma criança sem a intenção de ama la,1
eu discordo de você aborto não e somente uma questão de saúde publica mas sim tambem de educação assim como apredemos sobre dsts e contraceptivos nas escolas e tambem não e justo alem de todos os impostos absurdos que pagamos termos que bancar com os gastos de uma gravidez indesejada de uma pessoa imprudente toda mulher que se preze sabe que as pilulas nao sao seguras todos os medicos recomendam que mesmo usando pilula deve se usar camisinha então não ha justificativa para gravidez indesejavel defendo sim o aborto em casos de estupro e anencefalia mas abortar por simplismente nao querer um filho e um absurdo na terra ninguem e mais importante que ninguem minha vida nao pode ser mais importante que a do meu filho è o pensamento mais egoista e sem amor que ja ouvi,1
o aborto descriminalizado e realidade em muitos países em geral mais desenvolvidos e laicos que o nosso e nesses países onde o estado da todo o respaldo clínico e psicológico as mulheres a taxa de ocorrências e bem menor do que quando era criminalizado e elas não morrem,1
vamos por partes sti se eu não te considero vida posso te matar não porque eu sou uma pessoa ja formada que sente fala etc quando se fala de um embrião a coisa muda não se fala com um embrião geralmente apenas o religiosos consideram o embrião uma vida eu considero vida apenas o feto que ja formou seu tubo neural podendo assim então sentir dor antes disso ele e apenas um bolo de celula capaz de sentir coisa alguma se você for religioso e considerar o embrião uma vida saiba que em clínicas que realizam fertilização artificial os óvulos sal fecundados gerando assim vidas que são descartadas a cada anos mais ou menos ou seja pra você isso tambem deve ser homicídio de um ser inocente,1
o aborto acontece sendo legalizado ou não a questão aqui e devo deixar as mulheres pobres que abortam morrerem levando em consideração que quem tem mais grana vai numa clínica medica boa com medicos de verdade e toda a segurança necessaria,1
e q as pessoas acham q no momento q legalizar vai virar a festa da uva q as mulheres vão abdicar d outros metodos contraceptivos e vão todas abortar todos os meses pq e mais facil mesmo ter instrumentos cirúrgicos raspando suas entranhas sob anestesia geral lenta recuperação sangramento por dias,1
e você tem noção do quanto a justiça e burocratica para esse tipo de caso de reconhecimento e pensão você sabe o desgaste que e pra uma mulher com uma situação financeira fodida que não tem dinheiro nem pra advogado e que banca uma criança que nasceu por falha de metodo anti contraceptivo sozinha pra conseguir ir a justiça requerer pensão,1
minha mãe era totalmente sem condições vivia com o meu pai que só dormia o dia inteiro eles tinham uma mercearia minha mae nao podia fazer nada apenas atender a mercearia e fazer comida e lavar roupa e ajeitar a casa tudo sozinha ela ja tinha filhos quando eu nasci meu pai nem pra levar ela na maternidade levou e eu ja estava nascendo ela tinha que carregar malas pesadas eu só nasci e ela ja teve que vir trabalhar quase no mesmo dia que eu nasci ela ja teve que trabalhar se nao bastasse isso meu pai era bebado e era viciado em poker toda noite ela tinha que fazer comida pra todos os caras la que jogavam com ele e levar la depois que ela fechava a mercearia eu sempre penso que eu nao queria que ela tivesse passado por nada disso ela poderia muito bem ter me abortado ela nao tinha condições realmeeente e eu sei que o aborto era a melhor opção dela e não a culpo em naddaaa por chegar a pensar nisso por que eu realmente sei o quanto ela sofreu hoje eu nem olho pro meu pai se nao bastasse isso ele nem me dava atenção minha mae tinha que cuidar da mercearia e de mim alem de chegar bebado em casa e bater nela qualquer uma nessa situação chegaria a pensar em abortar hoje nem olho pra ele por o tanto que ele fez a minha mae sofrer,1
e vocês acham isso bonito senado em pleno seculo xxi código penal nenhum conhece a realidade de uma mulher que decidiu abortar o corpo e dela e os motivos tambem o que não podemos e jogar na cadeia alguem que chegou ao desespero de não querer ser mãe e mais estando no código penal ou não milhões de mulheres abortam anualmente o problema e que as pobres fazem isso dentro de casa tomando verdadeiros venenos a rica não ela vai ao medico amigo da família e ta tudo certo francamente crime no brasil não e abortar crime no brasil e ser pobre e a pena se paga com a vida,1
que lei machista e misógina o corpo e da mulher e ela que tem o direito de escolher se quer ou não interromper a gravidez isso e reflexo do nosso congresso que e formado por homens conservadores mas a lei esta errada o aborto só proibido para mulheres pobres as mulheres ricas e de classe media pagam clínicas e fazem o procedimento de forma segura,1
crime e fechar os olhos pras milhares de mulheres que morrem em açougues num país dito laico se utilizar de prerrogativas religiosas pra criminalizar algo que simplesmente vai ocorrer sendo legal ou ilegal e que se configura como crime e uma questão de saúde pública e a omissão e negligência a essa questão e vergonhosa e criminosa não adianta tapar o sol com a peneira,1
e crime mesmo assim uma infinidade de mulheres o fazem e uma pratica social e cultural da sociedade brasileira por isso deveria ser permitido para que as mulheres pobres que não podem pagar clínicas parem de morrer,1
os únicos países que tem esses projetos são justamente os países que liberaram o aborto foi assim q diminuíram o número de aborto legalizando e quando a mulher vai la p abortar eles criam um projeto com elas p mostrar o como pode ser viavel essa gravidez pq muitas abortam por falta de apoio do parceiro pq muitos abandonam ainda na gravidez e por falta de apoio familiar então antes de chegar de fato a abortar os profissionais tentam essas mediações p q o aborto não ocorra mas caso a mulher ainda quiser ela tem o direito pq significa q ter a criança vai fazer mal p vida dela e consequentemente ela não vai criar vínculo com a criança e essa criança vai ter milhões de problemas psicológicos devido a mãe não conseguir ser afetiva com ela,1
e crime pra quem só se for pra mulher pobre da periferia pras madames q podem pagar numa clínica clandestina ta td certo,1
proteger a vida humana sim mas e a vida d milhares d mulheres q morrem por abortos clandestinos todos os anos,1
só se preocupam c a vida ate nascer depois q se dane a criança quero ver aqui quem ja adotou uma criança abandonada eu apadrinho um menino abandonado e e a coisa mais triste do mundo a maioria das pessoas q e contra o aborto tem pai e mãe q se esforçaram pra dar uma vida digna pros filhos mas nem todo mundo tem esse mesmo pensamento e mais facil atirar o filho na rua do q lutar pra sustentar n adianta virmos aqui usando o nosso micro recorte social saudavel e em alguns casos privilegiado pra julgar políticas públicas q n nos dizem respeito eu n faria um aborto jamais tenho uma vida estruturada e feliz mas infelizmente essa n e a realidade da maioria das pessoas,1
e os homens mulheres transam com objetos que ejaculam ou transam com homens q tbm são responsaveis pelas suas atitudes e pelas consequências ja vi muitos casos de homens q tiram a camisinha e penetram a mulher sem o consentimento de transar sem camisinha homem tbm pod e tomar anticoncepcional pq ja existem os masculinos homem pode fazer vasectomia homem pode ficar ao lado da mulher e assim ela não precisar abortar pq sozinha não tem condições quer ser contra o aborto ok mas vamos culpar o homem tbm ne pq a mulher não engravida sozinha não somos todas virgens marias q engravidam do espírito santo,1
felipe ja te ocorreu que a maior parte dessas mulheres que abortam não correspondem ao perfil que esta no seu imaginario devassas irresponsaveis que trepam com geral muitas são mulheres casadas que dão sem a menor vontade que ja têm outros filhos e não têm condições de sustentar outros vale lembrar que nenhuma delas fez filho sozinho cadê seu caminhão de críticas para os manos que trepam sem camisinha,1
só pode ser proposital escancarar o próprio atraso e medievalidade no facebook deve ser uma estrategia pra perceber que isso precisa mudar urgente essa e parte da política atrasada machista violenta homicida perigosa e assassina que nosso senado permite existir a culpa e da câmara e do senado,1
lei que pune somente as mulheres pobres muitas vezes com a própria vida essa lei nos mostra como ainda precisamos evoluir em questão do direito das mulheres uma vergonha essa lei o corpo e nosso e a escolha tb e exclusivamente nossa lei criada na moral religiosa pq eu uma ateia que sigo exclusivamente o que me diz a ciência e a ciência diz que ate os meses ainda não e considerado vida deveria seguir essa lei arcaica medieval nunca precisei fazer um aborto mas se tivesse precisado teria feito sim evoluam melhorem por favor,1
sempre quando se fala de gravidez indesejada ou não programada ou sem condições pensam em mulheres de baixa renda e q usam se dos metodos mais barbaros de aborto q existem causando infecção trauma sem contar a clínica clandestina ou especialista que se aproveita do desespero dessas pessoas mas quando pensamos nas patricinhas que tem condições tambem a diferença e o acesso aos remedios que não são vendidos e muitas vezes fornecidos por medicos particulares pagando uma bagatela de reais,1
vocês tinham e que ter vergonha de ficar colocando e batendo em cima de uma lei retrograda e machista vocês veem a vida no feto mas não veem nas inumeras crianças que dependem da saúde publica que não e efetivada daquelas que moram na rua e não existem politicas publicas coerentes com a situação das mesmas tal como das crianças que estão em trabalho escravo e das condições dos lares adotivos veem a vida no feto mas não enxergam a mesma vida nas milhares de mulheres que são violentadas fisicamente e psicologicamente nas maternidades publicas e muito menos naquelas que morrem em clinicas clandestinas quanta coerencia senado federal,1
não e regra mas e uma grande realidade do que acontece com filhos de mulheres pobres que surpresa são aquelas que não tem grana pra viajar pra outro país e ter um procedimento cirúrgico adequado e realmente seria muito bom falar em melhorar a vida das crianças pobres abandonadas e marginalizadas mas infelizmente todos nós sabemos que não vai rolar ja que ultimamente o estado não tem liberado verba nem pra compra de papel higiênico nas escolas são contra o aborto pensando que a criança tera que tipo de criação que vai crescer como nós em uma casa com comida pequenos luxos e principalmente amor uma mãe que e obrigada a gerar parir e criar um filho que não quer nada mais vai nutrir pela criança alem de desgosto,1
grande erro desse estado conservador e tratar um problema de saúde pública como caso de polícia menos moralismo menos mortes de mulheres pobres o aborto masculino e legalizado olhe quantas crianças e quantos adultos de hj sem nome do pai na certidão,1
mas a lei como sempre e mais dura com a mulher do que com o homem ainda existem muitos cidadãos sem o nome do pai na certidão quantos pais jovens que o pai simplesmente cai fora e a moça e sua família tem que se responsabilizar e os trâmites burocraticos para que esta mãe reivindique o direito da criança são tão complicados que ela desiste e o moço sai impune e continua na pista,1
o aborto deve ser legalizado urgentemente ser a favor da legalização do aborto não significa ser a favor do aborto acredito que essa discussão deve ser ampliada e feita de maneira responsavel acho fundamental que mulheres que passam por uma gravidez indesejada tenham o direito de terminar essa gravidez de forma segura e sem colocar suas vidas em risco alem disso atualmente mil brasileiras morrem por ano em abortos clandestinos junto com seus respectivos fetos sendo assim o que esta criminalizado não e o aborto e sim a pobreza,1
